id,date,amount,concept_id,entitie_id,caja_id,folio,description,notes
1,2024-02-23,90935.75,1,10,1,202402,compra macetex,
2,2024-02-28,36330,2,2,1,202402,,
3,2024-03-01,15129.95,2,2,1,202403,compra tubos led,
4,2024-03-08,14000,4,11,1,202403,,revisar es de una estacion de servicio
5,2024-03-06,57790.51,1,10,1,202403,,
6,2024-07-04,27000,2,3,1,202407,,
7,2024-07-04,46680,2,3,1,202407,,
8,2024-07-04,77240,2,3,1,202407,,
9,2024-07-05,7200,2,3,1,202407,,
10,2024-07-05,347250,2,3,1,202407,pintureria,
11,2024-07-05,46450,2,3,1,202407,limpieza,
12,2024-07-05,1261.63,2,3,1,202407,,
13,2024-07-05,61445.74,2,3,1,202407,,
14,2024-07-06,20000,2,3,1,202407,,
15,2024-07-06,18000,2,3,1,202407,,
16,2024-07-08,4482,2,3,1,202407,,
17,2024-07-08,10000,2,3,1,202407,,
18,2024-07-08,2900,2,3,1,202407,,
19,2024-07-08,21000,2,3,1,202407,,a nombre de bruni
20,2024-07-08,402370,2,3,1,202407,,a nombre de bruni
21,2024-07-08,395306.5,2,3,1,202407,,
22,2024-07-12,48370.23,4,11,1,202407,,revisar es de una estacion de servicio
23,2024-07-13,43000,2,3,1,202407,,
24,2024-07-13,283054.23,2,3,1,202407,,
25,2024-07-17,4760,2,3,1,202407,,
26,2024-07-18,1872168.35,2,3,1,202407,,
27,2024-07-19,147299.46,2,2,1,202407,,
28,2024-07-20,19000,2,3,1,202407,,
29,2024-07-21,4000,2,3,1,202407,,
30,2024-09-12,8500,2,3,1,202409,,
31,2024-10-01,11256.63,2,2,1,202410,,
32,2024-10-16,28537.67,1,10,1,202410,,
33,2024-10-14,700000,6,12,1,202410,,
34,2024-11-25,166074.55,1,10,1,202411,,
35,2025-04-28,28560,2,2,1,202504,,
36,2025-04-29,40442.01,1,1,1,202504,,
37,2025-05-02,55623.01,1,1,1,202505,,
38,2025-05-14,91565,1,1,1,202505,,
39,2025-07-01,26223.77,1,1,1,202507,,
40,2025-07-08,86898.81,1,1,1,202507,,
41,2025-07-14,31447,1,1,1,202507,,
42,2025-07-18,58449.86,1,1,1,202507,,se pago junto con gastos_id: 9 y 10
43,2025-07-18,54969.76,1,1,1,202507,,se pago junto con gastos_id: 8 y 10
44,2025-07-18,252500,1,4,1,202507,,sustrato se pago junto con gastos_id: 8 y 9
45,2025-07-24,164696,1,1,1,202507,,
46,2025-07-24,180000,2,5,1,202507,reparaciones de aires condicionados,
47,2025-07-25,100000,2,6,1,202507,reordenamiento electrico,
48,2025-07-26,50000,5,7,1,202507,completado sueldo mayo,
49,2025-07-26,56000,1,1,1,202507,,
50,2025-07-28,1900000,6,8,1,202507,pago a bruni alquiler,
51,2025-07-29,120000,3,21,1,,retiro bird,
52,2025-07-30,6000,3,21,1,,,
53,2025-07-31,40000,4,11,1,,almuerzo,
54,2025-07-31,7650,2,3,1,202507,,
55,2025-08-01,10000,3,21,2,,,
56,2025-08-02,12280,4,11,2,,libreria,
57,2025-08-03,40000,3,21,2,,,
58,2025-08-04,150000,2,22,2,,,
59,2025-08-05,11000,4,11,2,,,
60,2025-08-05,59600,1,1,2,202508,,
61,2025-08-05,11000,2,3,2,202508,,
62,2025-08-06,4000,3,21,2,,retiro bird,
63,2025-08-06,4000,4,11,2,,libreria,
64,2025-08-06,8730,2,3,2,202508,,
65,2025-08-08,265500,1,4,2,,,
66,2025-08-08,42817.51,1,1,2,202508,,
67,2025-08-08,4886,2,3,2,202508,,
68,2025-08-08,12000,2,3,2,202508,,
69,2025-08-11,20000,3,21,2,,retiro bird,
70,2025-08-12,500000,7,25,2,,,
71,2025-08-13,10000,3,21,2,,retiro bird,
72,2025-08-13,108000,4,11,2,,internet,
73,2025-08-14,15000,3,21,2,,retiro bird,
74,2025-08-14,600000,5,7,2,,sueldo osmar,
75,2025-08-16,30000,3,21,2,,retiro bird,
76,2025-08-16,14760,4,11,2,202508,,
77,2025-08-18,20000,3,21,2,,retiro bird,967
78,2025-08-19,5540,2,3,2,202508,,
79,2025-08-19,46000,1,1,2,202508,gasto GSG,
80,2025-08-21,31508.74,1,1,3,202508,gasto GSG,
81,2025-08-21,16200,4,11,2,202508,gasto chino
82,2025-08-21,200000,5,23,3,,sueldo corto
83,2025-08-21,200000,5,24,3,,sueldo gory
84,2025-08-21,330000,1,4,2,,gasto vivero,